TradeID, Symbol, Timeframe, Session, Weekday, Direction, HTFBias, SweepType, FvgSize, ObQuality, DisplacementScore, ConfluenceScore, ATR, Spread, EntryPrice, SLPrice, TPPrice, ExitPrice, RR, RMultiple, DurationBars, MFE, MAE, ReasonClosed
11, XAUUSD, M5, NY Silver Bullet, Thu, LONG, Bullish, SSL Sweep, 3.16, 91%, 95%, 95%, 3.36, 0.25, 2332.79, 2325.53, 2347.31, 2347.31, 1:2.0, +2.0R, 22, +2.2R, -0.3R, CLOSED_TP1
12, XAUUSD, M5, London KZ, Thu, LONG, Neutral, SSL Sweep, 4.88, 80%, 77%, 75%, 3.68, 0.25, 2314.8, 2307.37, 2344.52, 2344.52, 1:4.0, +4.0R, 38, +4.5R, -0.3R, CLOSED_TP3_FINAL
13, XAUUSD, M5, NY Open, Thu, SHORT, Neutral, BSL Sweep, 2.13, 83%, 86%, 75%, 3.47, 0.25, 2319.55, 2328.2, 2302.25, 2328.2, 1:-1.0, -1.0R, 14, +0.8R, -1.0R, CLOSED_SL
14, XAUUSD, M5, NY Silver Bullet, Fri, LONG, Neutral, SSL Sweep, 2.45, 84%, 79%, 75%, 3.47, 0.25, 2312.17, 2305.92, 2324.67, 2305.92, 1:-1.0, -1.0R, 43, +0.4R, -1.0R, CLOSED_SL
15, XAUUSD, M5, NY Open, Fri, LONG, Bullish, SSL Sweep, 4.95, 77%, 80%, 95%, 3.43, 0.25, 2316.69, 2307.37, 2335.33, 2307.37, 1:-1.0, -1.0R, 8, +0.2R, -1.0R, CLOSED_SL
16, XAUUSD, M5, London KZ, Fri, SHORT, Neutral, BSL Sweep, 4.17, 93%, 92%, 75%, 4.02, 0.25, 2319.29, 2325.24, 2307.39, 2307.39, 1:2.0, +2.0R, 28, +2.3R, -0.3R, CLOSED_TP1
17, XAUUSD, M5, NY Open, Fri, LONG, Neutral, SSL Sweep, 3.53, 75%, 77%, 75%, 3.87, 0.25, 2323.2, 2317.02, 2347.92, 2347.92, 1:4.0, +4.0R, 13, +4.2R, -0.3R, CLOSED_TP3_FINAL
18, XAUUSD, M5, NY Open, Fri, SHORT, Bearish, BSL Sweep, 2.49, 92%, 85%, 95%, 3.05, 0.25, 2314.7, 2323.06, 2285.44, 2285.44, 1:3.5, +3.5R, 8, +4.0R, -0.4R, CLOSED_TP2
19, XAUUSD, M5, Asia KZ, Mon, LONG, Bullish, SSL Sweep, 3.52, 74%, 86%, 85%, 4.53, 0.25, 2329.27, 2322.42, 2356.67, 2356.67, 1:4.0, +4.0R, 41, +4.4R, -0.3R, CLOSED_TP3_FINAL
20, XAUUSD, M5, NY Silver Bullet, Mon, SHORT, Bearish, BSL Sweep, 2.15, 74%, 83%, 95%, 2.77, 0.25, 2304.14, 2311.91, 2273.06, 2273.06, 1:4.0, +4.0R, 24, +4.2R, -0.2R, CLOSED_TP3_FINAL
21, XAUUSD, M5, London KZ, Mon, LONG, Neutral, SSL Sweep, 3.24, 78%, 76%, 75%, 2.51, 0.25, 2324.34, 2316.15, 2357.1, 2357.1, 1:4.0, +4.0R, 43, +4.3R, -0.3R, CLOSED_TP3_FINAL
22, XAUUSD, M5, London KZ, Mon, LONG, Bullish, SSL Sweep, 4.64, 88%, 92%, 95%, 2.84, 0.25, 2303.07, 2296.53, 2316.15, 2296.53, 1:-1.0, -1.0R, 10, +0.7R, -1.0R, CLOSED_SL
23, XAUUSD, M5, London KZ, Mon, LONG, Bullish, SSL Sweep, 3.0, 87%, 88%, 95%, 4.74, 0.25, 2323.78, 2314.15, 2343.04, 2343.04, 1:2.0, +2.0R, 34, +2.5R, -0.3R, CLOSED_TP1
24, XAUUSD, M5, NY Open, Mon, SHORT, Bearish, BSL Sweep, 3.2, 91%, 82%, 95%, 3.11, 0.25, 2323.02, 2328.56, 2311.94, 2328.56, 1:-1.0, -1.0R, 22, +0.7R, -1.0R, CLOSED_SL
25, XAUUSD, M5, Asia KZ, Mon, SHORT, Bearish, BSL Sweep, 4.5, 77%, 82%, 85%, 2.55, 0.25, 2304.1, 2310.74, 2290.82, 2310.74, 1:-1.0, -1.0R, 25, +0.8R, -1.0R, CLOSED_SL
26, XAUUSD, M5, NY Open, Tue, SHORT, Bearish, BSL Sweep, 2.19, 78%, 80%, 95%, 3.84, 0.25, 2327.39, 2332.58, 2309.22, 2309.22, 1:3.5, +3.5R, 40, +3.9R, -0.2R, CLOSED_TP2
27, XAUUSD, M5, NY Silver Bullet, Tue, LONG, Neutral, SSL Sweep, 4.21, 70%, 91%, 75%, 4.63, 0.25, 2312.56, 2303.96, 2329.76, 2312.56, 1:0.0, +0.0R, 12, +1.9R, -0.2R, CLOSED_BE
28, XAUUSD, M5, Asia KZ, Tue, SHORT, Bearish, BSL Sweep, 2.22, 79%, 91%, 85%, 3.21, 0.25, 2310.92, 2317.93, 2296.9, 2296.9, 1:2.0, +2.0R, 32, +2.2R, -0.3R, CLOSED_TP1
29, XAUUSD, M5, Asia KZ, Tue, SHORT, Bearish, BSL Sweep, 4.63, 79%, 84%, 85%, 2.98, 0.25, 2323.29, 2331.32, 2295.18, 2295.18, 1:3.5, +3.5R, 38, +3.8R, -0.2R, CLOSED_TP2
30, XAUUSD, M5, Asia KZ, Tue, LONG, Bullish, SSL Sweep, 2.76, 91%, 95%, 85%, 3.92, 0.25, 2304.09, 2294.33, 2338.25, 2338.25, 1:3.5, +3.5R, 9, +3.7R, -0.2R, CLOSED_TP2
31, XAUUSD, M5, Asia KZ, Tue, LONG, Bullish, SSL Sweep, 4.81, 88%, 81%, 85%, 4.15, 0.25, 2311.02, 2304.02, 2339.02, 2339.02, 1:4.0, +4.0R, 14, +4.1R, -0.3R, CLOSED_TP3_FINAL
32, XAUUSD, M5, London KZ, Tue, SHORT, Neutral, BSL Sweep, 2.65, 73%, 89%, 75%, 2.81, 0.25, 2314.94, 2322.6, 2288.13, 2288.13, 1:3.5, +3.5R, 40, +4.0R, -0.4R, CLOSED_TP2
33, XAUUSD, M5, NY Open, Wed, LONG, Bullish, SSL Sweep, 3.41, 78%, 82%, 95%, 4.43, 0.25, 2309.24, 2300.35, 2327.02, 2327.02, 1:2.0, +2.0R, 26, +2.2R, -0.1R, CLOSED_TP1
34, XAUUSD, M5, London KZ, Wed, LONG, Neutral, SSL Sweep, 2.59, 92%, 79%, 75%, 4.12, 0.25, 2301.9, 2294.86, 2326.54, 2326.54, 1:3.5, +3.5R, 32, +3.6R, -0.3R, CLOSED_TP2
35, XAUUSD, M5, NY Open, Wed, LONG, Bullish, SSL Sweep, 4.4, 82%, 90%, 95%, 2.51, 0.25, 2312.6, 2303.83, 2330.14, 2303.83, 1:-1.0, -1.0R, 34, +0.8R, -1.0R, CLOSED_SL
36, XAUUSD, M5, NY Open, Wed, LONG, Bullish, SSL Sweep, 2.73, 85%, 75%, 95%, 3.39, 0.25, 2322.54, 2313.55, 2340.52, 2322.54, 1:0.0, +0.0R, 42, +2.0R, -0.3R, CLOSED_BE
37, XAUUSD, M5, NY Open, Wed, LONG, Neutral, SSL Sweep, 3.26, 84%, 80%, 75%, 2.62, 0.25, 2311.97, 2305.91, 2333.18, 2333.18, 1:3.5, +3.5R, 34, +3.7R, -0.4R, CLOSED_TP2
38, XAUUSD, M5, London KZ, Wed, LONG, Bullish, SSL Sweep, 1.98, 81%, 82%, 95%, 4.0, 0.25, 2323.17, 2314.91, 2339.69, 2323.17, 1:0.0, +0.0R, 9, +2.1R, -0.1R, CLOSED_BE
39, XAUUSD, M5, London KZ, Wed, SHORT, Bearish, BSL Sweep, 3.72, 76%, 89%, 95%, 4.11, 0.25, 2323.53, 2329.37, 2300.17, 2300.17, 1:4.0, +4.0R, 18, +4.4R, -0.3R, CLOSED_TP3_FINAL
40, XAUUSD, M5, NY Open, Thu, SHORT, Bearish, BSL Sweep, 4.89, 82%, 87%, 95%, 4.67, 0.25, 2308.82, 2316.78, 2292.9, 2316.78, 1:-1.0, -1.0R, 27, +0.3R, -1.0R, CLOSED_SL
41, XAUUSD, M5, NY Open, Thu, LONG, Bullish, SSL Sweep, 3.72, 71%, 86%, 95%, 3.73, 0.25, 2324.54, 2319.2, 2335.22, 2324.54, 1:0.0, +0.0R, 39, +1.2R, -0.2R, CLOSED_BE
42, XAUUSD, M5, Asia KZ, Thu, SHORT, Bearish, BSL Sweep, 3.28, 93%, 91%, 85%, 4.72, 0.25, 2311.27, 2320.31, 2293.19, 2311.27, 1:0.0, +0.0R, 45, +1.7R, -0.2R, CLOSED_BE
43, XAUUSD, M5, NY Silver Bullet, Fri, LONG, Neutral, SSL Sweep, 3.33, 94%, 89%, 75%, 3.81, 0.25, 2322.42, 2315.74, 2345.8, 2345.8, 1:3.5, +3.5R, 24, +3.7R, -0.2R, CLOSED_TP2
44, XAUUSD, M5, NY Silver Bullet, Fri, SHORT, Bearish, BSL Sweep, 3.56, 76%, 77%, 95%, 3.06, 0.25, 2314.1, 2321.88, 2286.87, 2286.87, 1:3.5, +3.5R, 9, +3.9R, -0.2R, CLOSED_TP2
45, XAUUSD, M5, London KZ, Fri, LONG, Bullish, SSL Sweep, 3.78, 85%, 92%, 95%, 3.72, 0.25, 2313.09, 2304.36, 2348.01, 2348.01, 1:4.0, +4.0R, 22, +4.3R, -0.2R, CLOSED_TP3_FINAL
46, XAUUSD, M5, London KZ, Fri, LONG, Bullish, SSL Sweep, 5.03, 92%, 80%, 95%, 2.94, 0.25, 2321.03, 2314.65, 2346.55, 2346.55, 1:4.0, +4.0R, 20, +4.3R, -0.4R, CLOSED_TP3_FINAL
47, XAUUSD, M5, London KZ, Mon, LONG, Bullish, SSL Sweep, 2.23, 71%, 76%, 95%, 3.77, 0.25, 2319.12, 2313.49, 2330.38, 2319.12, 1:0.0, +0.0R, 44, +1.7R, -0.3R, CLOSED_BE
48, XAUUSD, M5, NY Open, Mon, SHORT, Neutral, BSL Sweep, 1.97, 85%, 78%, 75%, 4.39, 0.25, 2309.5, 2314.87, 2298.76, 2309.5, 1:0.0, +0.0R, 44, +1.3R, -0.1R, CLOSED_BE
49, XAUUSD, M5, London KZ, Mon, LONG, Neutral, SSL Sweep, 4.4, 89%, 94%, 75%, 4.32, 0.25, 2306.52, 2298.91, 2333.16, 2333.16, 1:3.5, +3.5R, 35, +3.7R, -0.3R, CLOSED_TP2
50, XAUUSD, M5, NY Open, Mon, LONG, Bullish, SSL Sweep, 2.51, 76%, 83%, 95%, 4.02, 0.25, 2303.84, 2297.97, 2315.58, 2315.58, 1:2.0, +2.0R, 38, +2.3R, -0.3R, CLOSED_TP1
51, XAUUSD, M5, London KZ, Mon, SHORT, Bearish, BSL Sweep, 3.34, 91%, 82%, 95%, 4.62, 0.25, 2322.07, 2330.2, 2305.81, 2305.81, 1:2.0, +2.0R, 17, +2.3R, -0.3R, CLOSED_TP1
52, XAUUSD, M5, London KZ, Tue, LONG, Bullish, SSL Sweep, 3.82, 88%, 84%, 95%, 3.51, 0.25, 2314.59, 2308.07, 2337.41, 2337.41, 1:3.5, +3.5R, 13, +3.8R, -0.2R, CLOSED_TP2
53, XAUUSD, M5, NY Silver Bullet, Tue, SHORT, Bearish, BSL Sweep, 1.89, 77%, 93%, 95%, 3.85, 0.25, 2301.84, 2310.66, 2284.2, 2301.84, 1:0.0, +0.0R, 19, +1.8R, -0.3R, CLOSED_BE
54, XAUUSD, M5, NY Open, Tue, SHORT, Neutral, BSL Sweep, 3.79, 90%, 90%, 75%, 4.73, 0.25, 2315.43, 2322.47, 2301.35, 2301.35, 1:2.0, +2.0R, 39, +2.4R, -0.2R, CLOSED_TP1
55, XAUUSD, M5, Asia KZ, Tue, LONG, Bullish, SSL Sweep, 2.87, 80%, 78%, 85%, 4.73, 0.25, 2312.75, 2305.18, 2327.89, 2305.18, 1:-1.0, -1.0R, 42, +0.6R, -1.0R, CLOSED_SL
56, XAUUSD, M5, London KZ, Wed, SHORT, Bearish, BSL Sweep, 3.49, 84%, 76%, 95%, 2.97, 0.25, 2317.19, 2326.83, 2278.63, 2278.63, 1:4.0, +4.0R, 23, +4.3R, -0.1R, CLOSED_TP3_FINAL
57, XAUUSD, M5, London KZ, Wed, LONG, Bullish, SSL Sweep, 2.12, 73%, 89%, 95%, 4.68, 0.25, 2321.33, 2315.56, 2332.87, 2315.56, 1:-1.0, -1.0R, 25, +0.3R, -1.0R, CLOSED_SL
58, XAUUSD, M5, NY Open, Wed, SHORT, Neutral, BSL Sweep, 3.67, 82%, 81%, 75%, 4.62, 0.25, 2317.02, 2326.42, 2298.22, 2326.42, 1:-1.0, -1.0R, 34, +0.3R, -1.0R, CLOSED_SL
59, XAUUSD, M5, London KZ, Thu, LONG, Neutral, SSL Sweep, 2.82, 88%, 93%, 75%, 4.8, 0.25, 2315.99, 2310.25, 2336.08, 2336.08, 1:3.5, +3.5R, 32, +3.7R, -0.3R, CLOSED_TP2
60, XAUUSD, M5, London KZ, Thu, LONG, Bullish, SSL Sweep, 2.61, 82%, 82%, 95%, 4.47, 0.25, 2313.67, 2307.08, 2336.74, 2336.74, 1:3.5, +3.5R, 17, +3.8R, -0.3R, CLOSED_TP2
61, XAUUSD, M5, London KZ, Thu, SHORT, Bearish, BSL Sweep, 4.77, 84%, 78%, 95%, 3.71, 0.25, 2315.29, 2323.9, 2280.85, 2280.85, 1:4.0, +4.0R, 24, +4.5R, -0.1R, CLOSED_TP3_FINAL
62, XAUUSD, M5, NY Open, Thu, LONG, Bullish, SSL Sweep, 4.7, 87%, 87%, 95%, 4.69, 0.25, 2319.91, 2310.47, 2357.67, 2357.67, 1:4.0, +4.0R, 26, +4.1R, -0.1R, CLOSED_TP3_FINAL
63, XAUUSD, M5, NY Open, Thu, SHORT, Bearish, BSL Sweep, 4.39, 92%, 78%, 95%, 3.52, 0.25, 2324.41, 2333.93, 2305.37, 2305.37, 1:2.0, +2.0R, 17, +2.2R, -0.2R, CLOSED_TP1
64, XAUUSD, M5, NY Open, Thu, LONG, Neutral, SSL Sweep, 2.07, 82%, 94%, 75%, 4.07, 0.25, 2317.62, 2309.7, 2349.3, 2349.3, 1:4.0, +4.0R, 8, +4.2R, -0.2R, CLOSED_TP3_FINAL
65, XAUUSD, M5, NY Open, Thu, SHORT, Bearish, BSL Sweep, 2.34, 84%, 86%, 95%, 4.77, 0.25, 2313.71, 2323.52, 2294.09, 2313.71, 1:0.0, +0.0R, 32, +1.7R, -0.2R, CLOSED_BE
66, XAUUSD, M5, London KZ, Fri, SHORT, Bearish, BSL Sweep, 5.18, 79%, 75%, 95%, 4.75, 0.25, 2326.32, 2332.69, 2300.84, 2300.84, 1:4.0, +4.0R, 39, +4.4R, -0.4R, CLOSED_TP3_FINAL
67, XAUUSD, M5, Asia KZ, Fri, LONG, Bullish, SSL Sweep, 3.0, 90%, 81%, 85%, 3.93, 0.25, 2328.66, 2320.06, 2345.86, 2320.06, 1:-1.0, -1.0R, 14, +0.7R, -1.0R, CLOSED_SL
68, XAUUSD, M5, NY Open, Fri, SHORT, Bearish, BSL Sweep, 1.91, 81%, 79%, 95%, 2.71, 0.25, 2319.24, 2327.98, 2301.76, 2301.76, 1:2.0, +2.0R, 31, +2.4R, -0.4R, CLOSED_TP1
69, XAUUSD, M5, NY Silver Bullet, Mon, SHORT, Bearish, BSL Sweep, 5.01, 95%, 84%, 95%, 4.22, 0.25, 2320.94, 2326.52, 2309.78, 2326.52, 1:-1.0, -1.0R, 22, +0.2R, -1.0R, CLOSED_SL
70, XAUUSD, M5, NY Open, Mon, SHORT, Bearish, BSL Sweep, 4.54, 81%, 77%, 95%, 4.32, 0.25, 2313.07, 2320.75, 2282.35, 2282.35, 1:4.0, +4.0R, 32, +4.4R, -0.2R, CLOSED_TP3_FINAL
71, XAUUSD, M5, Asia KZ, Mon, LONG, Bullish, SSL Sweep, 3.4, 89%, 92%, 85%, 3.25, 0.25, 2332.65, 2324.41, 2349.13, 2332.65, 1:0.0, +0.0R, 34, +1.7R, -0.2R, CLOSED_BE
72, XAUUSD, M5, London KZ, Mon, LONG, Bullish, SSL Sweep, 3.47, 73%, 82%, 95%, 4.54, 0.25, 2316.94, 2309.67, 2346.02, 2346.02, 1:4.0, +4.0R, 45, +4.4R, -0.3R, CLOSED_TP3_FINAL
73, XAUUSD, M5, London KZ, Mon, SHORT, Bearish, BSL Sweep, 4.63, 89%, 88%, 95%, 4.66, 0.25, 2322.61, 2331.06, 2293.04, 2293.04, 1:3.5, +3.5R, 14, +4.0R, -0.4R, CLOSED_TP2
74, XAUUSD, M5, NY Open, Tue, SHORT, Neutral, BSL Sweep, 2.74, 73%, 89%, 75%, 2.71, 0.25, 2322.99, 2331.19, 2306.59, 2331.19, 1:-1.0, -1.0R, 29, +0.1R, -1.0R, CLOSED_SL
75, XAUUSD, M5, London KZ, Tue, LONG, Neutral, SSL Sweep, 4.4, 76%, 93%, 75%, 3.0, 0.25, 2341.82, 2335.18, 2368.38, 2368.38, 1:4.0, +4.0R, 17, +4.1R, -0.4R, CLOSED_TP3_FINAL
76, XAUUSD, M5, NY Open, Tue, LONG, Neutral, SSL Sweep, 4.75, 74%, 75%, 75%, 3.32, 0.25, 2341.82, 2333.88, 2369.61, 2369.61, 1:3.5, +3.5R, 41, +3.6R, -0.3R, CLOSED_TP2
77, XAUUSD, M5, London KZ, Tue, SHORT, Bearish, BSL Sweep, 3.55, 73%, 89%, 95%, 3.66, 0.25, 2345.04, 2350.26, 2334.6, 2345.04, 1:0.0, +0.0R, 37, +2.1R, -0.2R, CLOSED_BE
78, XAUUSD, M5, London KZ, Tue, SHORT, Bearish, BSL Sweep, 3.25, 73%, 90%, 95%, 4.14, 0.25, 2330.88, 2340.38, 2311.88, 2311.88, 1:2.0, +2.0R, 45, +2.1R, -0.2R, CLOSED_TP1
79, XAUUSD, M5, NY Open, Wed, SHORT, Bearish, BSL Sweep, 3.86, 73%, 78%, 95%, 4.46, 0.25, 2337.57, 2346.41, 2319.89, 2337.57, 1:0.0, +0.0R, 22, +1.4R, -0.2R, CLOSED_BE
80, XAUUSD, M5, NY Silver Bullet, Wed, SHORT, Bearish, BSL Sweep, 2.12, 83%, 85%, 95%, 4.03, 0.25, 2329.13, 2334.89, 2317.61, 2334.89, 1:-1.0, -1.0R, 13, +0.1R, -1.0R, CLOSED_SL
81, XAUUSD, M5, London KZ, Wed, SHORT, Bearish, BSL Sweep, 3.69, 88%, 92%, 95%, 3.79, 0.25, 2336.42, 2343.47, 2322.32, 2343.47, 1:-1.0, -1.0R, 35, +0.8R, -1.0R, CLOSED_SL
82, XAUUSD, M5, NY Open, Wed, SHORT, Bearish, BSL Sweep, 3.0, 88%, 91%, 95%, 2.99, 0.25, 2337.93, 2344.05, 2313.45, 2313.45, 1:4.0, +4.0R, 44, +4.2R, -0.3R, CLOSED_TP3_FINAL
83, XAUUSD, M5, NY Open, Wed, LONG, Bullish, SSL Sweep, 4.04, 92%, 83%, 95%, 2.57, 0.25, 2325.45, 2316.64, 2343.07, 2316.64, 1:-1.0, -1.0R, 19, +0.3R, -1.0R, CLOSED_SL
84, XAUUSD, M5, NY Open, Thu, LONG, Neutral, SSL Sweep, 3.95, 70%, 77%, 75%, 4.22, 0.25, 2325.62, 2318.52, 2350.47, 2350.47, 1:3.5, +3.5R, 44, +3.7R, -0.2R, CLOSED_TP2
85, XAUUSD, M5, NY Silver Bullet, Thu, LONG, Neutral, SSL Sweep, 3.9, 91%, 77%, 75%, 3.13, 0.25, 2339.7, 2332.27, 2365.7, 2365.7, 1:3.5, +3.5R, 30, +3.7R, -0.3R, CLOSED_TP2
86, XAUUSD, M5, London KZ, Thu, SHORT, Bearish, BSL Sweep, 2.85, 77%, 87%, 95%, 4.76, 0.25, 2321.42, 2327.44, 2309.38, 2327.44, 1:-1.0, -1.0R, 24, +0.6R, -1.0R, CLOSED_SL
87, XAUUSD, M5, London KZ, Thu, SHORT, Bearish, BSL Sweep, 2.4, 82%, 92%, 95%, 4.12, 0.25, 2334.09, 2343.26, 2315.75, 2334.09, 1:0.0, +0.0R, 10, +1.3R, -0.3R, CLOSED_BE
88, XAUUSD, M5, NY Open, Thu, LONG, Bullish, SSL Sweep, 3.76, 88%, 87%, 95%, 4.13, 0.25, 2331.58, 2326.0, 2351.11, 2351.11, 1:3.5, +3.5R, 37, +3.7R, -0.4R, CLOSED_TP2
89, XAUUSD, M5, Asia KZ, Thu, LONG, Bullish, SSL Sweep, 2.16, 83%, 93%, 85%, 3.42, 0.25, 2323.15, 2313.8, 2341.85, 2313.8, 1:-1.0, -1.0R, 18, +0.3R, -1.0R, CLOSED_SL
90, XAUUSD, M5, NY Open, Thu, LONG, Bullish, SSL Sweep, 2.99, 93%, 95%, 95%, 4.37, 0.25, 2326.22, 2320.49, 2349.14, 2349.14, 1:4.0, +4.0R, 12, +4.2R, -0.3R, CLOSED_TP3_FINAL
91, XAUUSD, M5, NY Open, Fri, SHORT, Bearish, BSL Sweep, 4.8, 90%, 95%, 95%, 4.77, 0.25, 2327.63, 2337.48, 2293.16, 2293.16, 1:3.5, +3.5R, 27, +3.6R, -0.2R, CLOSED_TP2
92, XAUUSD, M5, NY Open, Fri, SHORT, Bearish, BSL Sweep, 2.86, 84%, 76%, 95%, 2.63, 0.25, 2344.47, 2349.85, 2333.71, 2349.85, 1:-1.0, -1.0R, 40, +0.7R, -1.0R, CLOSED_SL
93, XAUUSD, M5, NY Open, Fri, LONG, Bullish, SSL Sweep, 4.55, 90%, 81%, 95%, 3.24, 0.25, 2333.51, 2327.76, 2345.01, 2345.01, 1:2.0, +2.0R, 13, +2.4R, -0.4R, CLOSED_TP1
94, XAUUSD, M5, London KZ, Fri, LONG, Bullish, SSL Sweep, 5.17, 86%, 91%, 95%, 3.9, 0.25, 2330.43, 2320.84, 2363.99, 2363.99, 1:3.5, +3.5R, 29, +3.9R, -0.1R, CLOSED_TP2
95, XAUUSD, M5, London KZ, Fri, SHORT, Neutral, BSL Sweep, 4.26, 91%, 94%, 75%, 4.51, 0.25, 2327.81, 2335.72, 2300.12, 2300.12, 1:3.5, +3.5R, 33, +3.7R, -0.3R, CLOSED_TP2
96, XAUUSD, M5, NY Open, Fri, LONG, Bullish, SSL Sweep, 3.08, 95%, 85%, 95%, 4.37, 0.25, 2336.5, 2327.36, 2354.78, 2336.5, 1:0.0, +0.0R, 35, +1.9R, -0.2R, CLOSED_BE
97, XAUUSD, M5, NY Open, Mon, LONG, Bullish, SSL Sweep, 2.96, 94%, 90%, 95%, 2.94, 0.25, 2346.68, 2340.91, 2358.22, 2358.22, 1:2.0, +2.0R, 41, +2.3R, -0.3R, CLOSED_TP1
98, XAUUSD, M5, London KZ, Mon, LONG, Bullish, SSL Sweep, 2.32, 75%, 94%, 95%, 4.36, 0.25, 2319.82, 2312.63, 2348.58, 2348.58, 1:4.0, +4.0R, 26, +4.4R, -0.4R, CLOSED_TP3_FINAL
99, XAUUSD, M5, NY Silver Bullet, Mon, LONG, Bullish, SSL Sweep, 2.85, 95%, 90%, 95%, 4.58, 0.25, 2322.06, 2313.67, 2351.42, 2351.42, 1:3.5, +3.5R, 32, +3.8R, -0.2R, CLOSED_TP2
100, XAUUSD, M5, Asia KZ, Tue, LONG, Bullish, SSL Sweep, 2.27, 78%, 76%, 85%, 3.97, 0.25, 2342.72, 2334.95, 2373.8, 2373.8, 1:4.0, +4.0R, 18, +4.4R, -0.2R, CLOSED_TP3_FINAL
101, XAUUSD, M5, Asia KZ, Tue, LONG, Bullish, SSL Sweep, 2.11, 77%, 89%, 85%, 4.53, 0.25, 2343.64, 2336.57, 2368.38, 2368.38, 1:3.5, +3.5R, 31, +3.7R, -0.4R, CLOSED_TP2
102, XAUUSD, M5, London KZ, Tue, LONG, Bullish, SSL Sweep, 4.01, 95%, 79%, 95%, 2.82, 0.25, 2323.34, 2314.19, 2341.64, 2341.64, 1:2.0, +2.0R, 8, +2.4R, -0.2R, CLOSED_TP1
103, XAUUSD, M5, London KZ, Tue, LONG, Bullish, SSL Sweep, 3.67, 93%, 94%, 95%, 3.71, 0.25, 2320.15, 2313.71, 2333.03, 2333.03, 1:2.0, +2.0R, 37, +2.2R, -0.3R, CLOSED_TP1
104, XAUUSD, M5, NY Silver Bullet, Tue, SHORT, Bearish, BSL Sweep, 1.86, 86%, 93%, 95%, 3.06, 0.25, 2319.4, 2326.55, 2305.1, 2305.1, 1:2.0, +2.0R, 13, +2.3R, -0.2R, CLOSED_TP1
105, XAUUSD, M5, NY Open, Tue, LONG, Bullish, SSL Sweep, 3.4, 90%, 87%, 95%, 4.76, 0.25, 2323.06, 2317.98, 2333.22, 2323.06, 1:0.0, +0.0R, 14, +1.5R, -0.2R, CLOSED_BE
106, XAUUSD, M5, London KZ, Wed, SHORT, Bearish, BSL Sweep, 4.57, 75%, 89%, 95%, 4.76, 0.25, 2331.28, 2337.19, 2307.64, 2307.64, 1:4.0, +4.0R, 26, +4.4R, -0.2R, CLOSED_TP3_FINAL
